Texto,Idioma,Longitud
en cuanto al contenido de esta comunicación nos proponemos abordar esencialmente los temas siguientes,es,14
si lo conseguimos dentro de un par de años quizá habremos logrado mejorar la situación,es,15
dicho esto quisiera hacer algunas observaciones,es,6
no es la primera vez que vemos vertidos de petróleo con o sin intención,es,14
la oradora es interrumpida por el presidente,es,7
muchas gracias señora comisaria hemos tomado buena nota de su disponibilidad,es,11
el debate queda cerrado,es,4
la votación tendrá lugar el jueves a las  horas,es,9
tempestades en europa,es,3
tiene la palabra en nombre de la comisión el sr barnier,es,11
el presidente interrumpe a la oradora,es,6
doy las gracias al comisario y apoyo totalmente su propuesta de fuerza europea de protección,es,15
el debate queda cerrado,es,4
la votación tendrá lugar el jueves a las  horas,es,9
el debate queda cerrado,es,4
turno de preguntas comisión,es,4
tiene la palabra el sr purvis para una cuestión de orden,es,11
pregunta nº  formulada por h,es,5
tiene la palabra en nombre de la comisión el sr verheugen,es,11
pregunta nº  formulada por h,es,5
tiene la palabra en nombre de la comisión la sra wallström,es,11
gracias señor bowe por su pregunta,es,6
¿durante cuánto tiempo continuará observando los efectos de estas armas,es,10
pregunta nº  formulada por h,es,5
¿cuándo piensa la comisión designar a un responsable para el tíbet,es,11
tiene la palabra en nombre de la comisión el sr patten,es,11
pregunta nº  formulada por h,es,5
tiene la palabra en nombre de la comisión el sr patten,es,11
dado que su autor no está presente la pregunta nº  decae,es,11
preguntas dirigidas al sr nielson a quien sustituye el sr patten,es,11
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
preguntas dirigidas a la sra diamantopoulou,es,6
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
¿con qué criterios aceptará o rechazará la comisión los citados programas de los estados miembros,es,15
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
dado que su autor no está presente la pregunta nº  decae,es,11
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
el turno de preguntas a la comisión queda cerrado,es,9
la sesión interrumpida a las  se reanuda a las  horas,es,10
aprobación de la gestión,es,4
muchas gracias señora comisaria schreyer,es,5
el debate queda cerrado,es,4
la votación se celebrará mañana a las  horas,es,8
seguimiento del segundo informe del comité de expertos independientes,es,9
este informe me parece redundante prolijo confuso y carente de precisión en los conceptos utilizados,es,15
por ello la comisión saluda el párrafo  del informe del sr van hulten,es,13
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
la sesión se levanta a las  horas,es,7
aprobación del acta de la sesión anterior,es,7
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
sí señor provan lo examinaremos en la próxima mesa,es,9
gracias señor terrón i cusí vamos a examinar esto por supuesto con el consejo,es,14
el acta queda aprobada,es,4
programa de actividad de la presidencia portuguesa incluida la situación en angola,es,12
pido a la presidencia portuguesa decisión y coraje para afrontar este desafío,es,12
muchas gracias señor presidente en ejercicio del consejo,es,8
el debate queda cerrado,es,4
proceso de paz en oriente medio,es,6
muchas gracias señor presidente del consejo por su declaración,es,9
interrumpimos aquí el debate para dar inicio a la votación,es,10
mediante votaciones sucesivas el parlamento aprueba las dos decisiones y la resolución,es,12
vamos a proceder de ese modo,es,6
mantenemos nuestra enmienda,es,3
por lo tanto hoy hemos votado en contra del informe de la sra theato,es,14
informe van der laan a,es,5
informe van hulten a,es,4
la sesión interrumpida a las  horas se reanuda a las  horas,es,11
proceso de paz en oriente medio continuación,es,7
he recibido seis propuestas de resolución de conformidad con el apartado  del artículo  del reglamento,es,15
el debate queda cerrado,es,4
la votación tendrá lugar el jueves,es,6
espacio de libertad seguridad y justicia,es,6
señor presidente esta situación no puede continuar así y debe ponérsele remedio,es,12
el presidente interrumpe al orador,es,5
muchas gracias señor ministro,es,4
el debate queda cerrado,es,4
turno de preguntas consejo,es,4
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
dado que su autor no está presente la pregunta nº  decae,es,11
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
dado que su autor no está presente la pregunta nº  decae,es,11
señor presidente me uno a los demás oradores al desear a portugal una presidencia exitosa,es,15
no puedo imaginarme un modo mejor de hacerlo ¿usted sí,es,10
el turno de preguntas al consejo queda cerrado,es,8
impuesto sobre el capital,es,4
de conformidad con el orden del día se procede al debate conjunto sobre,es,13
segundo el capital especulativo es difícilmente identificable,es,7
el debate queda cerrado,es,4
la asamblea en pie guarda un minuto de silencio,es,9
aprobación del acta de la sesión anterior,es,7
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
confío en que el presidente apoye esta solicitud,es,8
señor stevenson pediré a la presidenta que envíe dicha carta me parece obvio,es,13
gracias señor varela,es,3
resultados de los programas de orientación plurianuales de las flotas pesqueras,es,11
a este respecto ha pedido la palabra el sr hudghton,es,10
señor presidente estoy en contra de la propuesta que se ha formulado,es,12
el parlamento rechaza la solicitud,es,5
el punto se mantiene en el orden del día,es,9
tiene la palabra el sr maccormick,es,6
el parlamento rechaza la cuestión de orden,es,7
la comisión debe velar en el ejercicio de sus competencias por el interés comunitario,es,14
muchas gracias señora palacio el debate queda cerrado,es,8
la votación tendrá lugar hoy a las  horas,es,8
eficacia energética de los balastos de las lámparas fluorescentes,es,9
muchas gracias señora de palacio,es,5
el debate queda cerrado,es,4
la votación tendrá lugar hoy a las  horas,es,8
el parlamento aprueba la resolución legislativa  propuesta de resolución común,es,10
relativa a la catástrofe de la marea negra provocada por el naufragio del,es,13
el parlamento aprueba la resolución común,es,6
propuesta de resolución común relativa a las recientes tormentas en europa,es,11
el parlamento aprueba la resolución común,es,6
propuesta de resolución común relativa al proceso de paz de oriente medio,es,12
antes de la votación,es,4
como usted bien dice no estamos debatiendo las enmiendas así que procedamos a la votación,es,15
el parlamento aprueba la resolución común,es,6
propuesta de resolución común relativa a los movimientos internacionales de capital,es,11
el parlamento rechaza la propuesta de resolución común,es,8
el parlamento rechaza la propuesta de resolución,es,7
el parlamento rechaza la propuesta de resolución,es,7
el parlamento rechaza la propuesta de resolución,es,7
el parlamento rechaza la propuesta de resolución,es,7
el parlamento aprueba la resolución legislativa,es,6
explicaciones de voto,es,3
informe turmes a,es,3
resolución común relativa a la marea negra en la costa francesa,es,11
resolución común relativa a las tormentas en europa,es,8
resolución común relativa al proceso de paz de oriente medio,es,10
resoluciones relativas al impuesto sobre los movimientos de capital,es,9
informe cunha a,es,3
muchas gracias con esto concluye la votación,es,7
se suspende la sesión a las  horas y se reanuda a las  horas,es,13
debate de actualidad y urgencia,es,5
empezamos con el debate conjunto acerca de las siguientes propuestas de resolución sobre chechenia,es,14
b del sr haarder y otros en nombre del grupo eldr relativa a chechenia,es,14
el presidente interrumpe a la oradora,es,6
el debate queda cerrado,es,4
la votación se celebrará a las  horas,es,7
costa de marfil,es,3
el debate queda cerrado,es,4
la votación se celebrará a las  horas,es,7
prisioneros de la guerra del golfo en irak,es,8
el debate queda cerrado,es,4
la votación tendrá lugar a continuación a las  horas,es,9
situación en las islas molucas indonesia,es,6
b del sr maaten en nombre del grupo eldr sobre las molucas,es,12
señor presidente hablo en nombre del sr wiersma,es,8
con respecto a la ayuda humanitaria echo y la comisión están dispuestos a intensificarla,es,14
el debate queda cerrado,es,4
la votación tendrá lugar a las  horas,es,7
el debate queda cerrado,es,4
la votación tendrá lugar a las  horas,es,7
se suspende la sesión hasta las  horas,es,7
se vuelve a suspender la sesión de las  a las  horas,es,11
presidencia del sr provan,es,4
procedemos a la votación sobre los problemas de actualidad urgencia y especial importancia,es,13
durante la votación sobre chechenia,es,5
tiene mucha razón señor posselt se corregirá el texto según sus observaciones,es,12
antes de la votación sobre egipto,es,6
de nuevo nos aseguraremos de que el texto se traduce al alemán de forma adecuada,es,15
tras la votación sobre las islas molucas indonesia,es,8
así lo haremos,es,3
mercado interior y protección jurídica del consumidor,es,7
pero de ahí y aquí termina mi historia debemos sacar algunas conclusiones,es,12
señor presidente una de las soluciones es buscar otro camino,es,10
el debate queda cerrado,es,4
mujeres y ciencia,es,3
se debe fomentar la promoción de jóvenes investigadoras mediante las becas marie curie dotándolas suficientemente,es,15
el presidente retira la palabra a la oradora,es,8
el debate queda cerrado,es,4
la votación se celebrará en el próximo periodo parcial de sesiones,es,11
se cierra la sesión a las  horas,es,7
aprobación del acta de la sesión anterior,es,7
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
constará debidamente señor wyn,es,4
la presidencia toma nota de su observación señor hudghton,es,9
el acta queda aprobada,es,4
política pesquera común intensificación del diálogo industriagrupos interesados,es,8
por consiguiente se lo ruego en el futuro deberíamos esforzarnos mucho más,es,12
dicho esto y por no alargarme bienvenidos sean los recursos financieros de la propuesta,es,14
muchas gracias señora comisaria,es,4
sí señor van dam está prevista la votación nominal,es,9
el debate queda cerrado,es,4
se procede a la votación,es,5
el parlamento aprueba la resolución legislativa explicaciones de voto,es,9
cooperantes en colombia,es,3
muchas gracias señora diamantopoulou,es,4
el debate queda cerrado,es,4
se procede a la votación,es,5
propuesta de resolución común sobre la protección del personal cooperante y humanitario,es,12
el parlamento aprueba la resolución,es,5
explicaciones de voto,es,3
señorías hemos agotado el orden del día,es,7
interrupción del período de sesiones,es,5
declaro interrumpido el período de sesiones del parlamento europeo,es,9
se levanta la sesión a las  horas,es,7
reanudación del período de sesiones,es,5
declaro reanudado el período de sesiones del parlamento europeo interrumpido el viernes  de enero de,es,15
señoría le doy las gracias y tomo nota de su intervención,es,11
orden del día,es,3
¿desea intervenir algún diputado a favor de esta propuesta,es,9
¿desea intervenir algún diputado en contra de esta propuesta,es,9
señora presidenta creía que disponía de tres minutos le ruego que me disculpe,es,13
el parlamento aprueba la propuesta,es,5
queda inscrito este debate en nuestro orden del día,es,9
debate de actualidad y urgencia,es,5
negociaciones en austria para la constitución del gobierno,es,8
señora presidenta señoras y señores diputados permítanme una brevísima reflexión,es,10
aplausos de la derecha vivas exclamaciones de la izquierda,es,9
vivos aplausos del grupo del ppede,es,6
aplausos del grupo pse,es,4
aplausos de la derecha,es,4
la presidenta retira el uso de la palabra al orador,es,10
la presidenta retira la palabra al orador,es,7
ésa señora presidenta es la hipocresía de la izquierda,es,9
presidenta señorías austria tiene aquí una gran responsabilidad,es,8
gracias señor comisario kinnock,es,4
el debate sobre los problemas de actualidad urgencia y especial importancia queda cerrado,es,13
la votación tendrá lugar a las  horas,es,7
recursos al principio de precaución,es,5
muchas gracias señora comisaria,es,4
el debate queda cerrado,es,4
el presidente interrumpe al orador,es,5
doy la bienvenida aquí esta tarde al comisario barnier y a la presidencia portuguesa,es,14
prestaciones de servicios transfronterizos,es,4
muchas gracias señor comisario bolkestein,es,5
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
tribunal de primera instancia,es,4
gracias señor comisario,es,3
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
ayuda financiera excepcional a kosovo,es,5
en ese sentido creemos que respetamos totalmente lo que concluimos,es,10
estoy totalmente de acuerdo y así lo haremos,es,8
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
señor presidente permítame para comenzar felicitar al sr langen por su trabajo,es,12
gracias señora comisaria,es,3
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
gracias señora comisaria creo que podemos dar las gracias una vez más a nuestro ponente,es,15
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
se levanta la sesión a las  horas,es,7
vehículos al final de su vida útil,es,7
aplausos del grupo parlamentario del pse,es,6
muchas gracias señora comisaria,es,4
el debate queda cerrado,es,4
la votación tendrá lugar a continuación,es,6
con respecto a la enmienda,es,5
el parlamento adopta la resolución,es,5
el parlamento aprueba el proyecto común,es,6
el parlamento aprueba el proyecto común,es,6
el parlamento aprueba el proyecto común,es,6
la presidenta declara aprobada la posición común así modificada,es,9
el parlamento adopta la resolución legislativa,es,6
el parlamento adopta la resolución legislativa,es,6
en votaciones sucesivas el parlamento adopta las dos resoluciones legislativas,es,10
tomo nota de lo que acaba de decir señor speroni,es,10
el parlamento adopta la resolución legislativa,es,6
el parlamento adopta la resolución,es,5
propuesta de resolución común sobre las negociaciones gubernamentales en austria,es,10
más de doce diputados se ponen de pie el parlamento adopta la resolución,es,13
explicaciones de voto,es,3
informe mcnally a,es,3
segunda lectura florenz a,es,4
pero este texto contiene dos consideraciones que hay que vigilar,es,10
por escrito  en mi partido se opone a esta medida y a las enmiendas propuestas,es,15
informe berger a,es,3
informe berger a y berger a,es,6
informe marinho a,es,3
las propuestas de modificación del consejo nos inspiraban importantes reservas,es,10
informe dimitrakopoulos leinen a,es,4
por estas razones voto contra el informe,es,7
nuestras prioridades por ejemplo las cuestiones pendientes  deben ser,es,9
el número y las responsabilidades de los comisarios,es,8
ponderación de los votos en el consejo,es,7
resolución común sobre austria,es,4
la presidenta retira la palabra al orador,es,7
fr sin duda esta semana europa ha proferido su primer grito político,es,12
que nadie cuente con que yo permanezca paralizado y mudo,es,10
de hago esta declaración en nombre del grupo del csu,es,10
el turno de votaciones queda cerrado,es,6
interrupción del periodo de sesiones,es,5
declaro interrumpido el período de sesiones del parlamento europeo,es,9
se levanta la sesión a las   horas,es,7
reanudación del período de sesiones,es,5
aprobación del acta de la sesión anterior,es,7
se ha distribuido el acta de la sesión del pasado jueves  de febrero,es,13
¿hay alguna observación al respecto,es,5
la adopción del acta queda por tanto aplazada,es,8
gracias señor davies voy a consultar este tema con la junta de cuestores,es,13
orden de los trabajos,es,4
a sesiones del  al  de febrero de  en estrasburgo miércoles,es,10
¿quién desea presentar esta petición en nombre de estos grupos,es,10
como nadie desea intervenir someto a votación esta solicitud,es,9
el parlamento manifiesta su conformidadjueves,es,5
¿quién desea presentar en nombre del grupo liberal la solicitud de un subapartado sobre camboya,es,15
voy a ocuparme en primer lugar de la solicitud del grupo de izquierda unitaria,es,14
el parlamento rechaza la solicitud,es,5
la presidenta pasamos ahora a la solicitud del grupo liberal,es,10
¿hay alguien que desee intervenir en su defensa,es,8
el parlamento manifiesta su conformidad,es,5
¿hay algún colega que desee intervenir en nombre del grupo pse para presentar la solicitud,es,15
el parlamento manifiesta su conformidad,es,5
eso es exactamente estamos totalmente de acuerdo,es,7
b sesiones del  y  de marzo de  en bruselas,es,9
desarrollo urbano sostenible  desarrollo rural  iniciativa equal,es,7
señor presidente quiero hacer unas observaciones muy breves,es,8
mi grupo votará a favor de la enmienda,es,8
por eso quisiera señalar tres cuestiones,es,6
se cierra el debate,es,4
la votación tendrá lugar mañana a mediodía,es,7
se levanta la sesión a las  horas,es,7
aprobación de las actas de las dos sesiones anteriores,es,9
¿hay alguna observación sobre las actas,es,6
las actas quedan aprobadas,es,4
señora presidenta ayer compartí la misma experiencia con el sr medina ortega,es,12
totalmente de acuerdo señor napolitano le doy las gracias,es,9
gracias señor lannoye he recibido su carta y ya he intervenido ante las instancias británicas,es,15
ya que no es el caso la someto a votación,es,10
el parlamento da su acuerdo,es,5
señor corbett no he oído hablar de nada,es,8
orden del día,es,3
el parlamento da su acuerdo,es,5
objetivos estratégicos y programa legislativo de la comisión,es,8
a continuación doy la palabra al presidente prodi,es,8
sin trazar estas perspectivas europa se replegaría en una historia sin futuro,es,12
señoría le felicito,es,3
se procede al turno de votaciones,es,6
el parlamento rechaza la resolución,es,5
propuesta de resolución b espacio de libertad seguridad y justicia,es,10
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
explicaciones de voto  resolución espacio de libertad seguridad y justicia,es,10
informe mccarthy a,es,3
informe decourrière a,es,3
fr la iniciativa comunitaria interreg es un elemento de una política europea nefasta,es,13
informe procacci a,es,3
muchas gracias por su atención,es,5
la sesión interrumpida a las  horas se reanuda a las  horas,es,11
aditivos en la alimentación animal,es,5
gracias señor comisario el parlamento toma buena nota de sus observaciones,es,11
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
gracias señor comisario,es,3
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
política comunitaria en el ámbito del agua,es,7
se interrumpe el debate que será reanudado a las  horas,es,10
diálogo sobre europa retos de la reforma institucional,es,8
el debate queda cerrado,es,4
turno de preguntas comisión,es,4
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
muchas gracias señor vitorino por su importante contribución a este turno de preguntas,es,13
preguntas dirigidas a la sra wallström,es,6
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
una vez más quiero hacer hincapié que el contenido de esta carta aún es válido,es,15
preguntas dirigidas al sr barnier,es,5
pregunta nº  formulada por h,es,5
ésta es la respuesta señoría que puedo darle,es,8
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
preguntas dirigidas al sr bolkestein,es,5
muchas gracias señor barnier por sus respuestas,es,7
las preguntas  a  se contestarán por escrito,es,7
pregunta nº  formulada por h,es,5
dado que su autor no está presente la pregunta nº  decae,es,11
por tratarse de asuntos semejantes las preguntas  y  se contestarán conjuntamente,es,11
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
el turno de preguntas a la comisión queda cerrado,es,9
la sesión interrumpida a las  se reanuda a las  horas,es,10
política comunitaria en el ámbito del agua continuación,es,8
señora comisaria andalucía no es laponia,es,6
en acepto la enmienda,es,4
muchas gracias señora wallström,es,4
el debate queda cerrado,es,4
la votación tendrá lugar el miércoles a las  horas,es,9
instrumento financiero para el medio ambiente life,es,7
por consiguiente proponemos modificar el reglamento de la siguiente manera,es,10
el parlamento ya ha propuesto  millones de euros pero el documento repite la primera propuesta,es,15
muchas gracias señora wallström,es,4
el debate queda cerrado,es,4
la votación tendrá lugar el miércoles a las  horas,es,9
modernización de la protección social,es,5
muchas gracias señora diamantopoulou,es,4
el debate queda cerrado,es,4
la votación tendrá lugar el miércoles a las  horas,es,9
tratado de la ompi,es,4
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
la votación tendrá lugar el miércoles a las  horas,es,9
se levanta la sesión a las  horas,es,7
aprobación del acta de la sesión anterior,es,7
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
el acta queda aprobada,es,4
coherencia de las diferentes políticas de la unión con la política de desarrollo,es,13
sé que hacemos muchas cosas positivas pero empecemos por esta cuestión esencial,es,12
muchas gracias señor comisario nielson,es,5
el debate queda cerrado,es,4
la votación tendrá lugar el jueves a las  horas,es,9
próxima sesión derechos humanos de la onu,es,7
muchas gracias señor comisario patten,es,5
antes de la votación final,es,5
el presidente declara aprobada la posición común así modificada,es,9
el parlamento aprueba la resolución legislativa,es,6
el parlamento aprueba la resolución legislativa,es,6
antes de la votación final,es,5
el parlamento decide devolver el informe a la comisión,es,9
antes de la votación,es,4
aplausos de la izquierda exclamaciones de la derecha,es,8
vivos y largos aplausos del centro y de la derecha protestas de la izquierda,es,14
deseo a la delegación del parlamento marroquí una estancia excelente en estrasburgo,es,12
el parlamento aprueba la resolución,es,5
recomendación para segunda lectura,es,4
antes de la votación,es,4
la comisión puede aceptar en principio las enmiendas                                  y,es,9
en cambio la comisión no puede aceptar las enmiendas                               rev    y,es,11
les agradezco su atención,es,4
el presidente declara aprobada la posición común así modificada,es,9
el parlamento aprueba la resoluciónel presidente con esto acaba la votación,es,11
explicaciones de voto,es,3
informe böge a,es,3
recomendación cederschiöld a,es,3
informe graefe zu baringdorf a,es,5
informe stenzel a,es,3
informe lieneman a,es,3
los siguientes aspectos son singularmente relevantes,es,6
los nuevos indicadores del agua deben ser obligatorios,es,8
es necesario contemplar la protección de las aguas subterráneas de la contaminación,es,12
hace falta reglamentar la limpieza de las aguas subterráneas,es,9
se hace imprescindible un sistema urgente de detección de contaminantes en el agua,es,13
es necesario un calendario más breve para aplicación de la directiva,es,11
acaba la ficción,es,3
recibo esta ambiciosa propuesta de directiva marco sobre las aguas con la mayor satisfacción,es,14
lo que antecede es el motivo de nuestro voto,es,9
el agua es un recurso natural renovable y limitado su gestión correcta es esencial,es,14
informe andersson a,es,3
con esto finalizan las explicaciones de voto,es,7
se suspende la sesión a las  horas y se reanuda a las  horas,es,13
próxima sesión derechos humanos de la onu continuación,es,8
el debate queda cerrado,es,4
la votación tendrá lugar el jueves,es,6
chipre y malta,es,3
de conformidad con el orden del día se procede al debate conjunto sobre,es,13
en representación del consejo tiene la palabra el sr seixas da costa,es,12
muchas gracias por la aclaración señor wurtz,es,7
muchas gracias señor comisario verheugen,es,5
el debate queda cerrado,es,4
la votación tendrá lugar el jueves,es,6
turno de preguntas consejo,es,4
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
¿ha llegado el momento de que el gobierno turco levante el bloqueo económico contra armenia,es,15
por tratarse de asuntos semejantes las preguntas  y  se contestarán conjuntamente,es,11
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
tiene la palabra el sr rübig,es,6
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
pregunta nº  formulada por h,es,5
el turno de preguntas al consejo queda cerrado,es,8
la sesión interrumpida a las  se reanuda a las  horas,es,10
alocución del sr vaclav havel presidente de la república checa,es,10
señor presidente tengo mucho gusto en concederle el uso de la palabra,es,12
el europeísmo reflexivo no parece tener una gran tradición en europa,es,11
la asamblea de pie aplaude efusiva y largamente al orador,es,10
se levanta la sesión solemne a las  horas,es,8
asamblea paritaria acpue,es,3
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
acuerdo de estabilización y asociación con la arym,es,8
muchas gracias señor comisario patten,es,5
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
acuerdo sobre la comitología,es,4
muchas gracias señor comisario solbes mira,es,6
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
déficit excesivo anejo al tratado constitutivo de la ce,es,9
muchas gracias señor comisario solbes mira,es,6
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
euro fortalecimiento de la protección penal contra la falsificación de moneda,es,11
muchas gracias señora comisaria schreyer,es,5
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
se suspende la sesión a las  horas,es,7
reanudación de la sesión,es,4
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
el acta queda aprobada,es,4
también nos opondremos a que se suprima la facultad de los estados de aumentar al,es,15
el presidente retira la palabra al orador,es,7
el debate queda cerrado,es,4
la votación tendrá lugar a las  horas,es,7
asistencia judicial en materia penal entre los estados miembros de la unión europea,es,13
el presidente interrumpe al orador,es,5
le pido nuevamente disculpas por este error,es,7
¿hay oposición a la toma en consideración de esta enmienda oral,es,11
la asamblea expresa su acuerdo sobre la enmienda oral,es,9
en votaciones sucesivas el parlamento aprueba las dos resoluciones legislativas,es,10
sobre las enmiendas  y,es,4
la asamblea expresa su acuerdo sobre la enmienda oral,es,9
el parlamento aprueba la resolución legislativa,es,6
el parlamento aprueba la resolución legislativa,es,6
el parlamento aprueba la resolución legislativa,es,6
antes de la votación,es,4
sobre la enmienda,es,3
el parlamento aprueba la resolución legislativa,es,6
el parlamento rechaza la propuesta de resolución,es,7
el parlamento rechaza la propuesta de resolución,es,7
el parlamento rechaza la propuesta de resolución,es,7
propuesta de resolución común sobre el programa estratégico quinquenal de la comisión,es,12
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento rechaza la propuesta de resolución,es,7
muy bien así lo haré,es,5
propuesta de resolución común sobre los derechos humanos,es,8
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
sobre la enmienda,es,3
¿hay oposición a la toma en consideración de esta enmienda oral,es,11
la asamblea expresa su acuerdo sobre la enmienda oral  sobre la enmienda,es,12
por supuesto no veo ningún problema en ello,es,8
la asamblea expresa su acuerdo sobre la enmienda oral el parlamento aprueba la resolución,es,14
el parlamento aprueba la resolución,es,5
su señoría ha abandonado el hemiciclo por tanto pasamos a las explicaciones de voto,es,14
explicaciones de voto,es,3
informe olle schmidt a,es,4
informe brok a,es,3
¡la presente propuesta de reglamento debería constituir uno de estos fundamentos jurídicos,es,12
informe cederschiöld a,es,3
informe di pietro a,es,4
resolución sobre los objetivos estratégicos de la comisión para,es,9
en zambia el  de los maestros ha muerto a consecuencia del sida,es,12
no existe la menor duda de que áfrica se ha convertido en el continente olvidado,es,15
nos hemos abstenido en la votación de la resolución por las siguientes razones,es,13
informe corrie a,es,3
es la cara humana de europa,es,6
